year,REGION,cmip6_tas_ssp126_Annual,cmip6_tas_ssp126_MAM,cmip6_tas_ssp126_JJAS,cmip6_tas_ssp126_SON,cmip6_tas_ssp126_DJF,cmip6_tas_ssp245_Annual,cmip6_tas_ssp245_MAM,cmip6_tas_ssp245_JJAS,cmip6_tas_ssp245_SON,cmip6_tas_ssp245_DJF,cmip6_tas_ssp370_Annual,cmip6_tas_ssp370_MAM,cmip6_tas_ssp370_JJAS,cmip6_tas_ssp370_SON,cmip6_tas_ssp370_DJF,cmip6_tas_ssp585_Annual,cmip6_tas_ssp585_MAM,cmip6_tas_ssp585_JJAS,cmip6_tas_ssp585_SON,cmip6_tas_ssp585_DJF,cmip6_pr_ssp126_Annual,cmip6_pr_ssp126_MAM,cmip6_pr_ssp126_JJAS,cmip6_pr_ssp126_SON,cmip6_pr_ssp126_DJF,cmip6_pr_ssp245_Annual,cmip6_pr_ssp245_MAM,cmip6_pr_ssp245_JJAS,cmip6_pr_ssp245_SON,cmip6_pr_ssp245_DJF,cmip6_pr_ssp370_Annual,cmip6_pr_ssp370_MAM,cmip6_pr_ssp370_JJAS,cmip6_pr_ssp370_SON,cmip6_pr_ssp370_DJF,cmip6_pr_ssp585_Annual,cmip6_pr_ssp585_MAM,cmip6_pr_ssp585_JJAS,cmip6_pr_ssp585_SON,cmip6_pr_ssp585_DJF,cmip6_tasmax_ssp126_Annual,cmip6_tasmax_ssp126_MAM,cmip6_tasmax_ssp126_JJAS,cmip6_tasmax_ssp126_SON,cmip6_tasmax_ssp126_DJF,cmip6_tasmax_ssp245_Annual,cmip6_tasmax_ssp245_MAM,cmip6_tasmax_ssp245_JJAS,cmip6_tasmax_ssp245_SON,cmip6_tasmax_ssp245_DJF,cmip6_tasmax_ssp370_Annual,cmip6_tasmax_ssp370_MAM,cmip6_tasmax_ssp370_JJAS,cmip6_tasmax_ssp370_SON,cmip6_tasmax_ssp370_DJF,cmip6_tasmax_ssp585_Annual,cmip6_tasmax_ssp585_MAM,cmip6_tasmax_ssp585_JJAS,cmip6_tasmax_ssp585_SON,cmip6_tasmax_ssp585_DJF,cmip6_tasmin_ssp126_Annual,cmip6_tasmin_ssp126_MAM,cmip6_tasmin_ssp126_JJAS,cmip6_tasmin_ssp126_SON,cmip6_tasmin_ssp126_DJF,cmip6_tasmin_ssp245_Annual,cmip6_tasmin_ssp245_MAM,cmip6_tasmin_ssp245_JJAS,cmip6_tasmin_ssp245_SON,cmip6_tasmin_ssp245_DJF,cmip6_tasmin_ssp370_Annual,cmip6_tasmin_ssp370_MAM,cmip6_tasmin_ssp370_JJAS,cmip6_tasmin_ssp370_SON,cmip6_tasmin_ssp370_DJF,cmip6_tasmin_ssp585_Annual,cmip6_tasmin_ssp585_MAM,cmip6_tasmin_ssp585_JJAS,cmip6_tasmin_ssp585_SON,cmip6_tasmin_ssp585_DJF,cmip6_ws_ssp126_Annual,cmip6_ws_ssp126_MAM,cmip6_ws_ssp126_JJAS,cmip6_ws_ssp126_SON,cmip6_ws_ssp126_DJF,cmip6_ws_ssp245_Annual,cmip6_ws_ssp245_MAM,cmip6_ws_ssp245_JJAS,cmip6_ws_ssp245_SON,cmip6_ws_ssp245_DJF,cmip6_ws_ssp370_Annual,cmip6_ws_ssp370_MAM,cmip6_ws_ssp370_JJAS,cmip6_ws_ssp370_SON,cmip6_ws_ssp370_DJF,cmip6_ws_ssp585_Annual,cmip6_ws_ssp585_MAM,cmip6_ws_ssp585_JJAS,cmip6_ws_ssp585_SON,cmip6_ws_ssp585_DJF
2015,INDIA,-0.0148073565,-0.030065015,0.61279935,-0.97993225,-0.23524795,0.15061037,0.27769017,0.060247906,0.2017019,0.03209395,0.159696,0.18955079,0.148062,0.22608986,0.105682805,0.08924004,0.54634637,0.13681349,-0.6106467,0.08762634,0.311395777275151,0.08817788638109506,1.505093836463485,-0.6076734766104034,-0.3485419078746589,-0.045641052613014835,0.7052998481185614,-0.13612055172366266,-0.49957545801206843,-0.14981804035798807,-0.20404501298419392,-0.4140862516289539,-0.9372009393537637,0.6824831709289205,0.11756492819396233,-0.14158509833489516,-0.47878616708473354,-0.14653172540788986,0.21734277857607046,-0.2389283907017146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,INDIA,0.44394326,-0.39320147,0.42302015,0.9481178,1.072246,0.6427754,0.7090019,0.5238069,0.2806425,0.9486414,-0.0029909394,-0.09337832,0.38369733,0.36988127,-0.77882576,0.16467276,0.21803157,0.40301803,0.29611138,-0.38734576,-0.2999332532936633,0.2722840994920829,-1.6664493973640446,0.5685612229289035,0.183498303308513,0.011921676556284552,-0.169414441032506,-0.6122715957396606,1.1173610963982346,0.056586113317976375,-0.8351416345264,-0.0871456668517023,-1.792431144390213,-0.6612798594345084,-0.21700287832102272,-0.6188482664209709,0.06911753212683121,-1.3237298971743163,-0.6224814880631434,-0.21829354497826564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,INDIA,0.439036,0.99537957,0.75158226,-0.45845452,0.19062674,-0.10468569,-0.26762566,0.14930506,-0.5368508,-0.20457861,0.60824,0.75064176,0.5815801,1.3945696,-0.070401736,0.62838006,0.96796143,0.84815085,-0.081939414,0.6156013,0.8616145916419855,0.23616101436824874,1.3017412238230268,1.3160131701942617,0.2245368741214502,-0.23156603914839202,-0.30756772527950643,-0.18773779769940557,-0.3184129263152906,0.033050705917265735,-0.8511913665130728,-0.005365384914677591,-2.284519914523623,-0.09101626286599852,-0.03927614685037087,0.03533197893280086,-0.19510665154832169,0.03192108004936761,0.43857795244674175,0.09101160398816939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,INDIA,0.277314,-0.26433665,0.58227265,0.3316865,0.44161662,-0.31708896,-0.729541,0.06803274,-0.39258683,-0.6020381,0.023753501,-0.55682486,-0.1883298,0.18793254,0.68145806,-0.06078966,-0.08645932,0.15858045,-0.07346928,-0.6266266,-0.15735425779765055,-0.23234591050041745,0.32346597981077313,-0.513846469713775,-0.3509965051912434,0.14108008309481476,0.2258835393862415,0.03339252251206345,0.30273805010290095,-0.05477340760928424,-0.06437942554137079,0.27151780869259606,-0.07312710758842625,-0.2421512932379685,-0.029548755261133576,-0.6743890288597865,0.02553201791025148,-1.6885354175012897,-0.37541932344477175,-0.1589651577719093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,INDIA,0.83863616,0.49398506,1.0175174,1.0683515,0.8931694,0.2844948,0.9019244,0.44924143,-0.3693292,-0.03984591,0.5375664,0.7597886,0.7596247,-0.11839282,0.43710735,0.29490745,0.22533704,0.41739807,0.50252235,-0.033922665,-0.5451177125558017,-0.37873194030301555,-1.2905733445828258,-0.09376043285689306,0.06083147095076391,-0.1308584922388699,-0.09280090739680164,0.07863654437997167,-0.5422945176596119,0.0140312177925871,0.37751171391284166,1.5540066275703,0.16125936821019948,-0.05931494041236664,-0.20766067627740006,-0.5848476786621962,-0.20303601331525079,-0.9360044010858316,-0.7557619724319613,0.05405391896775357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,INDIA,0.8737665,0.92280805,1.0197917,0.86924237,0.42560348,0.019767646,-0.16002512,0.28944132,-0.067928895,0.029420873,0.12332292,-0.015537194,-0.004445222,0.5315733,0.19223261,0.2203963,0.04897314,0.6558702,-0.3861727,0.22249055,-0.9932919955881985,0.13536580401512677,-2.5291206772739083,-0.48684019130013323,-0.26290319605522444,0.04738621458522812,-0.38499970303253706,-0.8300536110347917,1.7783424164714696,-0.1448330108716517,-0.470780112675352,0.04730757643044252,-1.1540399094912734,-0.3765521693751546,0.14687165800525032,0.09269231238763041,-0.3927338794509236,0.6023429079826637,0.060774727051910615,-0.1310834999164322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,INDIA,0.8449535,1.2815713,0.9677377,-0.07037182,0.8862166,0.19774112,0.8053108,-0.17460422,0.16046001,0.22013927,-0.018678049,-0.43183067,0.4851828,0.16865142,-0.6675052,-0.06702571,-0.45962498,0.043650918,0.16540515,0.26004443,0.04467387430706357,0.07385170520242566,-0.018975536203017132,0.45888419591004215,-0.4298875958081515,0.29233187926302273,-0.13616277264723653,0.20628680609673683,1.2118204451787706,-0.10604134322788608,-0.5904438113828592,-0.43067241255602345,-1.4236398490309148,-0.1212360208078621,0.0833601927990175,-0.1771564609943372,0.1288878585794592,-1.0525166734975993,0.5249317014382006,0.06684536905920596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,INDIA,0.62414783,0.54599404,0.49851662,0.94073325,0.6241338,-0.02726143,0.314407,0.5769949,-0.5746515,-0.9682361,0.82873845,0.59050703,1.6859772,0.6084394,-0.04477202,0.4125471,-0.034791887,0.86604404,0.47762117,0.13678187,-0.23127997076729012,0.4303674208820936,-0.9170460598657795,-0.5115199936939827,0.3627859897494982,0.3569422272011484,-0.2986786585263731,1.0027969648717712,0.6139279065160449,-0.3997037128904327,-0.8062454632014618,-0.5250295635369372,-1.7679832427622988,-0.25088949331710364,-0.11901405890598805,-0.21599344649622873,0.30841034077175516,-1.3942710959718227,0.6431890556072231,-0.03538092473052208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,INDIA,0.62980103,0.9946219,0.3954984,0.1322602,0.58080083,-0.12123435,-0.12003098,-0.22803177,0.14564814,-0.030340763,0.51771575,-0.116945334,0.75727296,0.8934513,0.6274177,0.20314577,-0.32524198,0.38732085,0.52346325,0.19738966,0.012963137841462032,0.11576202111854271,-1.0649618416213606,1.445551371355879,0.45061020758588216,0.21451521498042891,-0.20245730173038753,0.44618320313608106,0.5776240641586781,-0.03853432929260492,-0.41922752508933914,-0.3056449920313327,-0.38245386768564577,-0.8073642308434722,-0.15968849535836008,-0.2512787386776899,0.6270249278158002,-0.7597930210872849,-0.5660610759192384,-0.07902466458765987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,INDIA,0.048791792,0.41223752,0.08878741,-0.47400683,0.038446445,0.10693654,0.039920572,0.3472453,0.12081633,-0.29516363,0.64211714,1.1195049,0.6818901,-0.18300158,0.50914884,0.46152842,0.58183324,0.71219265,-0.3754754,0.5909217,0.2311544338882675,-0.21851851302491332,0.8297335489621889,0.2404355672539804,-0.21864949338907635,-0.20480806263578227,0.4167260940117717,-0.3555441310159018,-0.6407863900457921,-0.1774704611160735,0.40405820237383727,-0.20331147413073908,1.5802202311709748,-0.06959860994083339,-0.26538369833112235,0.18487572124640084,-0.167003837182134,0.9413425451403156,-0.667641589137838,0.2525894915367838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,INDIA,0.24719068,0.030523468,0.51827526,0.42878556,-0.0336422,0.36385164,0.2441682,0.6350622,0.4359167,-0.051073093,0.20033945,0.4791504,0.3767504,-0.12569006,-0.48599896,-0.17515123,0.4006871,-0.09851675,-1.1324909,-0.38954514,-0.9535076866206766,-0.5753039574691856,-1.8353244792375447,-0.6972050122310478,-0.09395025934286202,-0.3190054187212367,-0.1448861343957506,-0.5485151332184179,-0.3480249566034616,-0.01956405816684882,-0.12165337896386572,0.14498594078755628,-0.6437973518365174,0.3084342728753777,-0.06922987932325757,0.6892734640913679,0.42321286365563815,1.005496587786973,1.1691416350628263,-0.25782443885177736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,INDIA,0.50997037,0.74002427,0.5981243,0.3246564,0.49266237,0.6172159,1.4141928,0.51383805,0.1874712,0.07654196,0.124949835,-0.75322956,0.905127,0.3635896,-0.21185064,0.31802684,0.09544241,0.47536036,0.8060479,0.056730945,-0.13113926713490925,0.16298696480084232,-0.3060674176555133,-0.044059653476621004,-0.08760722517078462,-0.10066039469038304,-0.14048121570143907,0.19683083225313994,-0.503220997112669,-0.09240526858327897,-0.7707222143603215,0.10269310560435847,-2.5300687383141853,0.41414035978242875,-0.32573345061809106,-0.595730426756463,-0.11816974059694546,-1.2364341242432204,-0.39244493170686934,-0.17024067729062276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
